LCN2,HHEX,CRISP3,CAMP,KLF10,SOX4,HOXA9,MAP3K7CL,MAPK12,TRIO,DEFT1P,GAS5,BMP1,CD8B2,SOCS5,PTH2R,MARK4,FSCN1,CYP4F3,ZNF469,DNAH10,HOXA10,VPREB3,EEF1A1,C6orf48,ASPH,MMP9,SLC17A9,UBE2E2,RPL22,NETO2,OLFM4,IL7R,PNKD,ORM1,RAB37,TUBB1,FBXL19,RTN2,MSRB3,C5,CFD,ORM2,SNX33,FLT3,AL022313.1,MERTK,CD160,ALOX12,PKLR,CD44,CD8B,TCL1A,ITPR1,AL031316.1,CRTC1,IGF2BP2,URB1.AS1,SLC25A21,ARRDC4
0.629103899,0.672909498,0.634855747,0.648043334,0.693848729,0.766921937,0.733234227,0.358607203,0.3927944,0.326663792,0.150889084,0.842324317,0.326454639,0.389199227,0.403948575,0.362558663,0.458316952,0.55035156,0.404958993,0.299753815,0.010208207,0.538929284,0.286582798,0.574872196,0.793476403,0.405502021,0.688516021,0.58161366,0.458127111,0.802240789,0.308910042,0.077938691,0.762868762,0.492615432,0.314685911,0.652054548,0.696456552,0.386808217,0.412370056,0.694996953,0.343683779,0.836579025,0.025018046,0.203685194,0.630039275,0.292335331,0.305178523,0.5194574,0.226334795,0.218156487,0.803757548,0.348230988,0.41459468,0.439427614,0.234925196,0.326484501,0.701178253,0.358710676,0.209005699,0.620745301
0.566740215,0.750193417,0.437208235,0.576944053,0.797932446,0.655717194,0.787174046,0.354541719,0.183836073,0.375081241,0.307409108,0.764095247,0.396626383,0.308370948,0.569550216,0.357290328,0.561370611,0.404665828,0.376190007,0.404856354,0.133478791,0.674849629,0.098759264,0.646978021,0.754303992,0.549869001,0.606224895,0.445516169,0.573536813,0.753245056,0.559481978,0.30716899,0.375405431,0.576700926,0.361163259,0.640050828,0.420942277,0.350745797,0.538929284,0.741514266,0.43263945,0.889862776,0.085160941,0.374730378,0.673348486,0.37267223,0.425599784,0.207472965,0.362193018,0.275751591,0.798824608,0.187854677,0.207217857,0.504824698,0.171899348,0.357832015,0.596651435,0.399372488,0.053098593,0.602975547
0.829022765,0.694796681,0.686983168,0.801894009,0.785283506,0.730602682,0.620215654,0.365733325,0.412909836,0.37355867,0.622844279,0.83879447,0.384128273,0.536747277,0.443583488,0.250462115,0.512552083,0.517964065,0.493645191,0.340013266,0.413946837,0.45228231,0.315488964,0.636033952,0.795084774,0.462261051,0.783716142,0.512572944,0.325279206,0.814554632,0.174861714,0.672471583,0.6569947,0.457627177,0.541619539,0.580540121,0.557160616,0.380466491,0.410860121,0.667981982,0.358943582,0.466931075,0.019553861,0.349872023,0.534833431,0.479481488,0.375716358,0.457885653,0.264850765,0.467215359,0.803171515,0.417426497,0.299956292,0.48247987,0.188281655,0.347186714,0.685417235,0.399170458,0.493781477,0.537870407
0.286386043,0.728332222,0.208267257,0.393844455,0.797047973,0.833281398,0.786673367,0.231503159,0.442547649,0.221008644,0.244291082,0.867046475,0.394541472,0.10890764,0.527472436,0.133340657,0.55483681,0.621409237,0.248349965,0.443435282,0.260756701,0.659130573,0.236083671,0.647852659,0.835079074,0.590938151,0.362924635,0.604532659,0.562257111,0.848904133,0.212977752,0.152671829,0.561572969,0.53521961,0.133547872,0.637580037,0.357870758,0.401500583,0.418324888,0.722030044,0.349796146,0.676095843,0.069019467,0.332769215,0.785876989,0.279841512,0.419577479,0.241501734,0.250380725,0.27327776,0.845077217,0.110642977,0.234470367,0.569602549,0.11292477,0.34750098,0.726405978,0.353353173,0.299349129,0.599925101
0.578953028,0.707995415,0.261254996,0.347589016,0.761493444,0.73878777,0.536792994,0.362493336,0.413195074,0.508393943,0.120081164,0.841605961,0.440796018,0.256478727,0.53709054,0.224690139,0.607153654,0.61583358,0.355900764,0.327226073,0.036837067,0.47324869,0.205698818,0.641371906,0.780646145,0.574550986,0.638375938,0.636500061,0.61840564,0.793263793,0.418111503,0.405575454,0.405340493,0.699262261,0.303491533,0.672340453,0.189665332,0.464463711,0.332369119,0.680531085,0.300552964,0.730348587,0.071253709,0.378185928,0.756371558,0.396626383,0.446728051,0.071462467,0.201415569,0.040481824,0.831046939,0.105890684,0.189435303,0.539807379,0.190070376,0.37452808,0.64166671,0.398291618,0.035881739,0.542741239
0.793582857,0.714278042,0.631118774,0.713937759,0.794223905,0.725790143,0.6086483,0.356775105,0.386654943,0.449803472,0.399156034,0.838967383,0.458800703,0.316503614,0.456646919,0.298697919,0.445300847,0.560941219,0.286801487,0.307740957,0.19974646,0.481452107,0.283118904,0.636751533,0.76525116,0.474302649,0.67802757,0.63035208,0.378744513,0.783424735,0.251358241,0.438989013,0.441122711,0.5957672,0.457765013,0.671512127,0.625813425,0.388848692,0.46837306,0.634748995,0.413180053,0.523423433,0.059738141,0.435774565,0.661908746,0.54680264,0.286254942,0.420282185,0.355130911,0.43502003,0.78236264,0.335678518,0.254639894,0.453826755,0.088838026,0.364287049,0.717376292,0.343310267,0.434699476,0.568505526
0.309576184,0.718891561,0.024526393,0.262357086,0.744367719,0.795735121,0.706856012,0.407342821,0.355207831,0.467927277,0.178940982,0.835079074,0.350049168,0.3417328,0.530802429,0.474157035,0.550496578,0.52246958,0.227212533,0.4201442,0.207321778,0.507533073,0.20949848,0.660432577,0.796389461,0.543256998,0.374002665,0.598133326,0.681958795,0.798266113,0.523011088,0.100501657,0.341026813,0.508743167,0.133586735,0.613357365,0.294731915,0.322736651,0.358775347,0.674406767,0.426504761,0.736446321,0.062644072,0.345031321,0.7868734,0.261920124,0.26963225,0.263138324,0.33487308,0.205595151,0.818578064,0.251378626,0.25072673,0.531563222,0.154625267,0.280434787,0.629796326,0.40800792,0.155303761,0.525560498
0.483680427,0.712303877,0.100060701,0.376271248,0.761573911,0.705189466,0.794653475,0.275174677,0.388526469,0.406281322,0.310577273,0.807591975,0.41770032,0.221375763,0.544197559,0.399300307,0.583581209,0.508804858,0.285207301,0.333473384,0.00961291,0.643519878,0.233690098,0.62793225,0.777013958,0.60980773,0.524250031,0.488877624,0.514350951,0.781501114,0.466647059,0.402795315,0.27695033,0.608867168,0.257632583,0.583887577,0.382774949,0.401210278,0.496639252,0.689191222,0.419807106,0.864569604,0.071990609,0.380411685,0.742481768,0.350568354,0.425397277,0.238477468,0.289521784,0.204437226,0.794223905,0.225224882,0.281796634,0.544881701,0.247529685,0.34961912,0.661087155,0.343571693,0.172996566,0.512385368
0.79671818,0.684710324,0.637111306,0.641629875,0.750266969,0.711521447,0.704176903,0.328725159,0.407032907,0.44485411,0.485112607,0.855029225,0.415909231,0.296247244,0.472614497,0.29861936,0.65421176,0.556070089,0.356607795,0.331110656,0.176207021,0.460100263,0.256746382,0.555107594,0.781787574,0.557757497,0.621975362,0.511428654,0.582692266,0.813639998,0.310577273,0.408807725,0.52007854,0.612019122,0.543679833,0.41843164,0.565219223,0.287304878,0.399589032,0.53793931,0.202239975,0.632520556,0.269294471,0.366511315,0.521540761,0.396311432,0.394128799,0.280413181,0.453011155,0.459267914,0.788486719,0.35847789,0.144269302,0.471530437,0.184685528,0.33443439,0.544999897,0.47677049,0.406443298,0.406885386
0.584585428,0.731495678,0.44583115,0.64720583,0.824962378,0.671294808,0.746138275,0.123197153,0.407298535,0.419088095,0.284151077,0.839488328,0.454201311,0.141509742,0.495108873,0.474393666,0.558455825,0.597598672,0.363055438,0.22057417,0.136539087,0.578734994,0.214973256,0.688035488,0.784105957,0.641556084,0.628448308,0.642220795,0.559984148,0.812476754,0.458472341,0.271059722,0.356569201,0.644154131,0.497901201,0.710079074,0.482629657,0.464754522,0.521799624,0.734732628,0.393177181,0.871749103,0.240282059,0.303695679,0.753849089,0.407786101,0.387561589,0.25597471,0.130477756,0.126160696,0.79671818,0.146494389,0.309863627,0.542273223,0.137327045,0.372779548,0.685370028,0.420558363,0.178560168,0.632907808
0.361410677,0.775919199,0.200938255,0.176080525,0.789097905,0.75660336,0.792734087,0.159110889,0.432703137,0.348583877,0.21280618,0.86032337,0.470666021,0.257993698,0.631083906,0.439801723,0.500502229,0.628413856,0.213082612,0.385667175,0.171998218,0.668109894,0.201415569,0.726344287,0.817623675,0.602945149,0.431828588,0.579882026,0.45699051,0.83311981,0.421019137,0.066657498,0.452824533,0.543703377,0.113124974,0.644677997,0.54036361,0.390238851,0.47990796,0.76458931,0.374420255,0.843414068,0.030776044,0.374689907,0.688516021,0.468194664,0.411920875,0.22255598,0.150726795,0.089452177,0.810947418,0.248978674,0.217945039,0.51303196,0.038041595,0.362336636,0.604257047,0.379167438,0.044708263,0.679251909
0.296705067,0.684898555,0.522166789,0.293565363,0.729715347,0.795626462,0.691233814,0.265866339,0.456440955,0.431574613,0.011190332,0.859187901,0.385875642,0.185883775,0.509690344,0.408392787,0.525035501,0.553536355,0.338633001,0.383354336,0.058721282,0.548067689,0.124195769,0.715991259,0.833281398,0.608898401,0.456252277,0.643892705,0.612050891,0.816143394,0.417761207,0.367966026,0.327573389,0.540897787,0.184840918,0.727148533,0.562612653,0.397572905,0.422220111,0.757457078,0.43804881,0.796827972,0.078906536,0.357948214,0.752120197,0.452960253,0.432734966,0.305651098,0.154973269,0.317239851,0.817217648,0.168366089,0.328641057,0.537732601,0.156971291,0.272310793,0.665779889,0.379522502,0.373639345,0.580842376
