TUBB2A,CALU,USP2,UGT1A1,ASS1,UGT1A6,UGT1A10,UGT1A9,UGT1A7,TRIM29,PITX2,TSTA3,PCSK1,CXCL1,CCL13,TNIP3
156.17,1052.00,341.00,126.10,2450.20,126.60,813.60,118.35,127.02,7.00,1193.50,446.00,26.00,103.00,266.00,35.00
148.74,814.00,199.00,150.08,1152.40,119.91,465.44,104.03,108.03,54.00,163.00,313.00,149.00,159.33,118.00,24.00
189.31,928.00,328.00,73.66,3008.50,84.16,411.16,74.33,73.05,9.00,259.00,343.00,27.00,197.00,98.00,40.00
198.24,1044.00,34.00,58.44,2870.10,58.19,262.77,48.77,59.27,112.00,75.00,501.67,51.00,467.33,65.00,166.00
144.80,980.00,338.00,160.19,2347.00,214.35,781.69,182.60,220.85,62.00,284.00,374.10,31.00,425.83,123.00,201.00
169.42,825.00,248.00,158.99,1660.20,206.33,783.44,152.27,266.83,17.00,404.00,401.00,51.00,87.00,268.00,45.00
115.59,517.50,248.00,62.05,1663.30,63.22,266.64,43.89,52.80,15.00,25.00,352.00,20.00,49.00,206.00,20.00
148.22,851.00,298.00,170.16,2269.60,144.49,697.27,123.52,123.91,44.00,300.00,419.00,37.00,108.83,258.00,37.00
153.16,945.00,358.00,280.24,2204.40,250.24,1095.90,242.39,284.47,32.00,271.00,434.00,45.00,125.83,275.00,41.00
144.43,629.00,288.00,100.08,1632.50,148.99,586.49,116.91,148.41,7.00,505.00,359.00,37.00,40.00,71.00,4.00
329.40,945.75,73.00,120.80,2550.60,64.63,307.47,47.05,63.22,492.00,2.00,679.00,154.00,1052.30,11.00,238.00
239.34,1710.00,34.00,16.69,4600.10,13.69,62.69,10.44,10.44,270.00,0.00,990.00,1419.00,2442.00,20.00,3154.00
287.10,983.00,147.00,32.33,4309.10,42.83,187.16,27.33,29.66,79.00,2.00,572.00,170.00,523.00,12.00,422.50
541.85,1245.00,192.00,30.83,17163.00,31.83,198.50,22.33,24.00,189.00,1.00,979.00,83.00,1566.70,12.00,2029.00
412.82,4552.80,101.00,13.58,14850.00,19.08,62.58,8.33,12.83,520.00,0.00,1463.00,719.00,5745.20,72.00,5183.20
253.72,1450.00,155.00,51.08,4661.70,48.58,208.33,33.54,43.83,248.00,8.00,638.00,452.00,74.00,21.00,55.00
117.48,1405.00,168.00,40.19,5874.30,44.52,216.19,40.61,40.61,78.00,6.00,781.00,203.00,599.33,56.00,192.00
308.28,2706.00,30.00,16.00,3646.10,41.67,60.50,12.50,14.00,234.00,1.00,578.00,160.00,1905.00,15.00,752.00
222.04,1166.00,106.00,17.67,4244.10,15.17,87.17,14.67,14.17,158.00,0.00,540.00,206.00,1005.20,18.00,572.00
240.37,1183.00,45.00,7.75,2716.00,10.75,35.08,7.33,6.00,240.00,0.00,314.00,203.00,1849.70,50.00,251.00
