'Citr-M','AMP-M','Pi','F26BP','F16BP','DHAP','F6P','G6P','Citr-I','AMP-I'
0,0,1.4786,0.008628,0.39902,0.22865,0.072318,0.30664,0,0
0,0.058236,1.3625,0.009394,0.59501,0.26827,0.054227,0.22159,0.037992,0.089663
0.4104,0.018379,1.3052,0.006926,0.57608,0.27809,0.05954,0.2515,0.53343,0.021226
0.52105,0.013754,1.4296,0.00623,0.52289,0.26998,0.068523,0.27956,0.59618,0.021532
0.45321,0.011487,1.4233,0.005829,0.51865,0.26412,0.067185,0.26868,0.47029,0.022742
0.83144,0.018981,1.3752,0.004918,0.51342,0.25974,0.06634,0.26239,1.1101,0.032331
0.43692,0.008011,1.4223,0.005203,0.48633,0.25648,0.067792,0.27774,0.35745,0.014731
0.25446,0.023506,1.36,0.00443,0.55708,0.26338,0.055237,0.23718,0.26412,0.051834
0.2553,0.013302,1.3595,0.004216,0.55834,0.26493,0.060798,0.24926,0.28176,0.027615
0.29401,0.032553,1.372,0.005964,0.61427,0.27185,0.052949,0.22603,0.32739,0.062394
0.20425,0.021039,1.3419,0.005918,0.60591,0.28393,0.054007,0.23474,0.20841,0.043487
0.83313,0.038072,1.2669,0.00574,0.59869,0.27269,0.053111,0.21864,1.1995,0.066976
0.44609,0.009067,1.3512,0.004245,0.50308,0.25989,0.068577,0.26831,0.34608,0.007064
0.12747,0.007751,1.4124,0.007153,0.50633,0.25455,0.066699,0.26645,0.080808,0.015222
0.50414,0.048006,1.3483,0.005782,0.64087,0.28336,0.053632,0.216,0.61215,0.086776
0.40283,0.036891,1.339,0.005869,0.63975,0.28706,0.054623,0.21779,0.33883,0.062123
0.26178,0.045532,1.3327,0.005954,0.64792,0.28371,0.051926,0.21552,0.22647,0.072241
0.34553,0.01054,1.322,0.006025,0.52914,0.28153,0.057141,0.24999,0.42496,0.012863
0.37304,0.023776,1.3481,0.006596,0.56075,0.28241,0.059759,0.24646,0.36972,0.044312
0.8979,0.01433,1.3582,0.00679,0.53601,0.28465,0.058912,0.25714,1.064,0.025881
0.5787,0.047443,1.2419,0.005949,0.58913,0.28792,0.050324,0.21782,0.53275,0.092886
0.55519,0.057988,1.2433,0.004104,0.64541,0.30633,0.048249,0.20469,0.58066,0.084126
0.11805,0.048926,1.3143,0.006781,0.66832,0.30579,0.049873,0.20855,0,0.075551
0.75348,0.062044,1.2747,0.005031,0.66258,0.30859,0.050975,0.21063,1.048,0.091605
0.50585,0.061405,1.2526,0.005018,0.6457,0.29615,0.053124,0.21308,0.4695,0.082359
0.50168,0.020058,1.3136,0.005751,0.56317,0.28323,0.056583,0.23384,0.56695,0.02353
0.8637,0.027742,1.3712,0.004337,0.51616,0.26859,0.05832,0.24165,1.0215,0.049703
0.61034,0.039363,1.4032,0.006507,0.57588,0.28779,0.060679,0.23846,0.53862,0.063381
0.57087,0.03027,1.395,0.005535,0.58244,0.2902,0.053427,0.23472,0.58682,0.052299
0.53992,0.060698,1.3428,0.004767,0.60988,0.29446,0.053367,0.22267,0.54171,0.092193
0.68425,0.014253,1.4066,0.005607,0.50593,0.27405,0.063405,0.25958,0.79452,0.013803
0.93908,0.005186,1.5168,0.005293,0.40066,0.24938,0.071735,0.29723,1.0218,0.001739
1.1093,0.023917,1.4433,0.005187,0.47955,0.26559,0.065011,0.26262,1.2,0.046343
0.68956,0.047313,1.4461,0.004885,0.60233,0.29382,0.058424,0.247,0.51471,0.085157
0.97168,0.006641,1.4032,0.005137,0.4244,0.24152,0.063782,0.27,1.1762,0.003333
1.0254,0.039025,1.3575,0.003344,0.54764,0.27504,0.060629,0.2509,1.0074,0.055587
0.75784,0.033644,1.3188,0.003584,0.55655,0.27619,0.054314,0.239,0.67428,0.040688
1.0329,0.043797,1.3087,0.004506,0.55969,0.27796,0.055753,0.23342,1.1074,0.059339
0.19729,0.031426,1.307,0.00701,0.57416,0.27966,0.057262,0.22796,0.31089,0.1
0.58429,0.034319,1.2998,0.005086,0.56354,0.28046,0.058237,0.23179,0.74429,0.045763
0.39034,0.065643,1.2454,0.006105,0.59987,0.28191,0.049198,0.20674,0.31658,0.092365
0.67086,0.011177,1.3364,0.005144,0.49981,0.26293,0.064415,0.25937,0.76381,0.00533
0.2015,0.049187,1.2811,0.006488,0.54216,0.26141,0.052238,0.22524,0.067755,0.07395
0.8041,0.068434,1.2067,0.003368,0.66197,0.29845,0.046403,0.18994,1.0024,0.092281
0.25203,0.011187,1.3206,0.003954,0.53943,0.27743,0.052314,0.22539,0.064848,0
0.24829,0.019055,1.3553,0.005195,0.56113,0.26934,0.049724,0.2166,0.29518,0.033237
0.42692,0.043373,1.3016,0.004709,0.6446,0.29264,0.046915,0.19236,0.45597,0.060899
0.92234,0.012609,1.3657,0.004063,0.56851,0.28691,0.054385,0.22743,1.062,0.012685
1.2805,0.030226,1.4401,0.003126,0.61603,0.30279,0.055479,0.23121,1.1949,0.052157
1.2534,0.00995,1.3879,0.003249,0.52267,0.27722,0.061087,0.24824,1.1649,0.010948
0.84331,0.063712,1.3312,0.004322,0.65291,0.29541,0.044896,0.19696,0.75731,0.09838
0.63717,0.0152,1.3844,0.004406,0.58145,0.28721,0.053267,0.21711,0.58666,0.009267
0.4196,0.04451,1.3275,0.003323,0.61721,0.27099,0.044132,0.18169,0.36792,0.073453
0.84154,0.065328,1.2541,0.003215,0.66877,0.29557,0.037193,0.17372,0.96658,0.093897
0.52076,0.034965,1.2806,0.003323,0.63129,0.28465,0.043196,0.18797,0.37756,0.045271
0.49023,0.046239,1.1776,0.003527,0.59716,0.25914,0.037556,0.1691,0.53813,0.073234
0.73849,0.027332,1.1047,0.003018,0.45689,0.22469,0.034714,0.16627,0.94897,0.048005
