SULF1,COL8A1,INHBA,FN1,COL10A1,THBS2,NTM,NOX4,RASAL2,ADAMTS12,CAPG,LTBP1,CTHRC1,FAP,WISP1,VCAN,TIMP1,MIR34AHG,SLPI,GPRC5A
5.626673914,4.01108788,3.944597587,9.23529805,4.959912295,8.142537104,3.432048645,5.448466301,8.064556417,5.555078341,6.084151233,7.097840201,7.97081791,5.563135569,6.531390728,8.933117253,11.64188481,6.591133175,5.410033322,4.983232521
5.427170805,4.337746943,4.302387505,9.21185968,4.872236059,8.327166588,3.786490326,5.776586816,7.934801294,5.678097174,6.213736515,7.14395886,8.005334375,5.327635912,6.726977936,8.512057531,11.39301672,6.67477068,5.62695402,4.92795516
4.887511281,3.582510747,3.522768415,7.830633669,5.577994291,5.883025762,4.639852806,3.751085263,7.27688513,5.833778708,6.20725397,6.811545085,4.942321582,5.808493215,3.270564005,6.340359833,8.716096398,6.478348751,6.971657347,5.526026963
5.124299319,3.893846218,3.620938788,7.750233613,5.665615624,5.802090818,4.368624609,3.608107125,6.975178912,5.429574657,5.807222749,6.743380113,4.365233474,5.563547099,2.964430676,6.699495693,8.482959468,6.392218196,6.917779921,6.813652384
4.679218969,4.169151092,4.355890777,7.012180354,5.996378157,6.042022571,3.970611668,4.040942016,7.138908052,5.494227813,6.302090058,7.020441321,4.522817271,6.017585185,3.191110198,6.192782434,8.746817479,5.719008354,7.281258213,5.343402926
4.597399849,3.789692445,3.761546041,7.558639123,5.620244845,5.777578709,3.659524218,3.288245901,6.721794852,5.137238065,6.251482272,7.0603366,4.163630034,5.357545168,3.143104015,6.25029226,8.481584364,6.213960119,7.267357895,6.405012916
4.482757352,3.956614283,3.747739473,7.133977858,5.895313354,5.894258888,4.138871654,3.413204182,7.032101089,5.384958409,6.539868524,6.582657413,4.723476094,5.688480769,3.102303746,6.128245067,8.121788794,6.021119613,6.44334515,5.671163028
6.685824682,4.083452068,3.39531702,9.808353811,4.92558685,6.875145221,4.953100492,3.741474531,7.936667163,5.857192757,7.967608906,7.517597389,7.815975168,5.096669304,6.005775992,7.718723141,11.42239375,5.506792402,6.217857225,5.866032373
5.501478659,3.894864397,3.987373847,8.6785705,5.473938187,5.689986969,3.788276785,3.864146608,6.954929623,5.571242581,6.323985924,7.322122361,5.106259846,5.599399812,2.999442428,6.644839713,8.370412788,6.330780116,6.806197115,5.564566205
10.36161836,9.763881814,9.643548654,13.07260331,9.603635212,10.9140961,9.219253208,7.488314912,8.636168957,8.120367455,9.249777217,8.777762043,11.93173443,9.821675053,8.925477909,12.40999266,13.43998316,6.421677717,8.134086907,9.066083786
8.401284644,6.440772761,8.179857704,12.09855735,4.589242332,8.891441683,8.257230482,3.871399051,7.985787242,5.189829762,6.485045029,8.331941462,6.958804241,3.967031134,4.082533424,9.448624105,10.47120406,5.959200211,5.970998386,7.49210642
6.860812459,3.699651436,5.76414534,9.158168188,5.145002385,5.203127887,5.280953809,3.263630424,7.556340442,4.769065082,7.809521321,7.158426258,7.406986086,4.200995883,4.943874728,8.648281217,10.41050389,5.973750267,6.532750391,10.21508155
